"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P1";"Socket_Strip_Arduino_1x08";1;"Power";;;
2;"P2";"Socket_Strip_Arduino_1x06";1;"Analog";;;
3;"P3";"Socket_Strip_Arduino_1x10";1;"Digital";;;
4;"P4";"Socket_Strip_Arduino_1x08";1;"Digital";;;
5;"P5,P6,P7,P8";"Arduino_1pin";4;"CONN_01X01";;;
6;"C6,C8";"CP_Radial_D5.0mm_P2.00mm";2;"4u7";;;
7;"F1";"Fuseholder5x20_horiz_open_Schurter_0031_8201";1;"1A";;;
8;"R2,R4,R5";"R_1206_HandSoldering";3;"10K";;;
9;"R3";"R_1206_HandSoldering";1;"4K7";;;
10;"C1";"CP_Radial_D13.0mm_P5.00mm";1;"2200uF";;;
11;"C2,C4,C5,C7,C9";"C_1206_HandSoldering";5;"100nF";;;
12;"D1";"D_2114";1;"MRA4007T3G";;;
13;"D2,D3";"D_SOD-123";2;"1N5819HW-7-F";;;
14;"U1";"ATPAK-2";1;"MC7815BD2TR4G";;;
15;"U2";"ATPAK-2";1;"L7805CD2T-TR";;;
16;"U3,U4";"SOIC-8-N";2;"IR2184SPBF";;;
17;"J1";"JST_XH_B08B-XH-A_08x2.50mm_Straight";1;"Conn_01x08";;;
18;"J2";"JST_XH_B05B-XH-A_05x2.50mm_Straight";1;"Conn_01x05";;;
19;"J3,J4,J6,J7";"JST_XH_B02B-XH-A_02x2.50mm_Straight";4;"Conn_01x02";;;
20;"J5";"JST_XH_B03B-XH-A_03x2.50mm_Straight";1;"Conn_01x03";;;
